bgrp,SUM_HOUSIN,SUM_POP10,under_1,under_1pct,under_13,under_13pc,over_70,over_70pct,NonWhite,NonWt_Pct,PLx2_Pop,PLx2_Pct
420031517005,459.0,905.0,9,0.994475007057,89,9.83425045013,90,9.94474983215,170.0,18.7845303867,307.0,34.3400447427
420031517006,555.0,1098.0,9,0.819671988487,113,10.2913999557,118,10.7468004227,157.0,14.2987249545,264.0,29.4642857143
420031608001,280.0,484.0,2,0.413222998381,28,5.78512001038,46,9.50413036346,34.0,7.02479338843,130.0,28.0172413793
420031608002,374.0,635.0,4,0.629921019077,35,5.5118098259,54,8.5039396286,56.0,8.8188976378,372.0,62.3115577889
420031608003,368.0,702.0,4,0.569800972939,74,10.5412998199,71,10.1140003204,75.0,10.6837606838,258.0,33.681462141
420031608004,417.0,738.0,8,1.084010005,78,10.5691003799,55,7.45256996155,162.0,21.9512195122,406.0,50.3097893432
420031609001,567.0,959.0,7,0.729927003384,23,2.39832997322,125,13.0343999863,94.0,9.80187695516,548.0,48.7111111111
420031609002,1321.0,1913.0,11,0.575012981892,88,4.60010004044,190,9.93204021454,239.0,12.4934657606,605.0,32.7203893997
420031702001,477.0,629.0,3,0.47694799304,18,2.8616900444,38,6.04133987427,96.0,15.2623211447,222.0,35.8642972536
420031702002,509.0,808.0,3,0.371286988258,35,4.33167982101,74,9.15841960907,50.0,6.18811881188,216.0,28.4210526316
420031702003,774.0,1239.0,7,0.564971983433,42,3.38983011246,94,7.5867600441,75.0,6.05326876513,413.0,33.4683954619
420031702004,678.0,1049.0,2,0.190658003092,31,2.95519995689,78,7.43564987183,32.0,3.05052430887,504.0,43.7880104257
420031706001,293.0,457.0,1,0.218817993999,21,4.59519004822,54,11.8162002563,35.0,7.65864332604,162.0,42.0779220779
420031706002,448.0,742.0,3,0.404312998056,51,6.87332010269,66,8.8948802948,62.0,8.35579514825,680.0,60.1769911504
420031706003,372.0,665.0,10,1.5037599802,64,9.62405967712,55,8.27068042755,141.0,21.2030075188,260.0,48.6891385768
420031803001,628.0,1098.0,20,1.82149004936,183,16.6667003632,102,9.28962039948,420.0,38.2513661202,560.0,59.8930481283
420031803002,318.0,666.0,4,0.600601017475,132,19.8197994232,33,4.95495986938,307.0,46.0960960961,358.0,64.8550724638
420031803003,345.0,736.0,11,1.49457001686,161,21.875,37,5.02717018127,323.0,43.8858695652,375.0,49.8670212766
420031807001,370.0,620.0,4,0.645160973072,52,8.38710021973,37,5.9677400589,64.0,10.3225806452,372.0,46.6750313676
420031807002,356.0,689.0,7,1.01596999168,88,12.7721004486,49,7.11176013947,132.0,19.1582002903,292.0,40.0548696845
